Country,Insertion Order ID,Line Item,Line Item Start,Line Item End,Campaign,Campaign ID,Flight,Flight ID,Creative,Creative ID,Country,Line Item ID,Impressions
AU,25769,"1/19-2/4 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, Fans/Viewers of + Genre: Drama",1/19/2024,2/4/2024,"NA_NA_120996_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | Gilded Age - Heavy Streamers, Fans/Viewers of (1 Year) + Genre | 01/19 - 02/04",158307,"FS+_17-21_STV_RES_ACR-Gilded Age - Heavy Streamers, Fans/Viewers of (1 Year) + Genre",429564,FS+_17-21-AU-APP_NA-NA_NA_152556_120996 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | 01/19 - 02/04 Gilded Age 119494,315357,Australia,120996,295864
AU,25769,"1/19-2/4 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, Fans/Viewers of + Genre: Drama",1/19/2024,2/4/2024,"NA_NA_120996_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | Gilded Age - Heavy Streamers, Fans/Viewers of (1 Year) + Genre | 01/19 - 02/04",158307,"FS+_17-21_STV_RES_ACR-Gilded Age - Heavy Streamers, Fans/Viewers of (1 Year) + Genre",429564,FS+_17-21-AU-APP_NA-NA_NA_152556_120996 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | 01/19 - 02/04 Gilded Age 119494,315357,,120996,527
AU,25769,"1/19-2/4 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, Fans/Viewers of + Genre: Drama",1/19/2024,2/4/2024,"NA_NA_120996_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | Gilded Age - Heavy Streamers, Fans/Viewers of (1 Year) + Genre | 01/19 - 02/04",158307,"FS+_17-21_STV_RES_ACR-Gilded Age - Heavy Streamers, Fans/Viewers of (1 Year) + Genre",429564,FS+_17-21-AU-APV/APP_NA-NA_NA_152556_120996 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | 01/19 - 02/04 Gilded Age 119494,315643,Australia,120996,1004715
AU,25769,"1/19-2/4 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, Fans/Viewers of + Genre: Drama",1/19/2024,2/4/2024,"NA_NA_120996_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | Gilded Age - Heavy Streamers, Fans/Viewers of (1 Year) + Genre | 01/19 - 02/04",158307,"FS+_17-21_STV_RES_ACR-Gilded Age - Heavy Streamers, Fans/Viewers of (1 Year) + Genre",429564,FS+_17-21-AU-APV/APP_NA-NA_NA_152556_120996 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | 01/19 - 02/04 Gilded Age 119494,315643,,120996,1790
AU,25769,"1/19-2/4 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, Fans/Viewers of + Genre: Drama",1/19/2024,2/4/2024,"NA_NA_120996_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | Gilded Age - Heavy Streamers, Fans/Viewers of (1 Year) + Genre | 01/19 - 02/04",158307,"FSM_22-23_STV_RES_ACR-Gilded Age - Heavy Streamers, Fans/Viewers of (1 Year) + Genre",429567,FSM_22-23-AU_APP_NA-NA_NA_152556_120996 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | 01/19 - 02/04 Gilded Age 119494,315358,Australia,120996,95602
AU,25769,"1/19-2/4 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, Fans/Viewers of + Genre: Drama",1/19/2024,2/4/2024,"NA_NA_120996_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | Gilded Age - Heavy Streamers, Fans/Viewers of (1 Year) + Genre | 01/19 - 02/04",158307,"FSM_22-23_STV_RES_ACR-Gilded Age - Heavy Streamers, Fans/Viewers of (1 Year) + Genre",429567,FSM_22-23-AU_APP_NA-NA_NA_152556_120996 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | 01/19 - 02/04 Gilded Age 119494,315358,,120996,164
AU,25769,"1/19-2/4 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, Fans/Viewers of + Genre: Drama",1/19/2024,2/4/2024,"NA_NA_120996_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | Gilded Age - Heavy Streamers, Fans/Viewers of (1 Year) + Genre | 01/19 - 02/04",158307,"FSM_22-23_STV_RES_ACR-Gilded Age - Heavy Streamers, Fans/Viewers of (1 Year) + Genre",429567,FSM_22-23-AU_APV/APP_NA-NA_NA_152556_120996 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | 01/19 - 02/04 Gilded Age 119494,315644,Australia,120996,376463
AU,25769,"1/19-2/4 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, Fans/Viewers of + Genre: Drama",1/19/2024,2/4/2024,"NA_NA_120996_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | Gilded Age - Heavy Streamers, Fans/Viewers of (1 Year) + Genre | 01/19 - 02/04",158307,"FSM_22-23_STV_RES_ACR-Gilded Age - Heavy Streamers, Fans/Viewers of (1 Year) + Genre",429567,FSM_22-23-AU_APV/APP_NA-NA_NA_152556_120996 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | 01/19 - 02/04 Gilded Age 119494,315644,,120996,815
AU,25769,"2/1-3/7 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, XBOX, Playstation, Switch Users, Fans/Viewers of, Fans of + Genre: SciFi",2/1/2024,3/7/2024,"NA_NA_120995_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre | 02/01 - 03/07",159314,"FS+_17-21_STV_RES_ACR-FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre",430892,FS+_17-21-AU_APP_NA-NA_NA_152556_120995 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | Dated | 02/01 Halo 109976,316172,Australia,120995,33562
AU,25769,"2/1-3/7 First Screen Rotational (2017+) AUSTRALIA: Heavy Streamers, XBOX, Playstation, Switch Users, Fans/Viewers of, Fans of + Genre: SciFi",2/1/2024,3/7/2024,"NA_NA_120995_FS+-17-23-AU_152556_P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre | 02/01 - 03/07",159314,"FS+_17-21_STV_RES_ACR-FS (17+): Halo S2 - XBOX, Playstation, Switch Users, Fans (180) w/ S3 + Genre",430892,FS+_17-21-AU_APP_NA-NA_NA_152556_120995 | P+ AUS_The Gilded Age S2 & Halo S2_1Q24 | Dated | 02/01 Halo 109976,316172,,120995,44
