Department ,Sales Cycle ,Category,Change Category To,Task
Sales,n/a,Career Development,,Personal Development Training
Sales,n/a,Career Development,,HR Related Tasks: Hiring  Interviewing  Reviews  etc
Sales,n/a,Career Development,,New Hire Onboarding
Sales,n/a,Career Development,,Knowledge Sharing (Preparing/Presenting)
Sales,n/a,Business Development,Career Development,Training Peers (Preparing/Presenting)
Sales,n/a,Business Development,Account Strategy,Management: Org. & Strategy
Sales,Pre Sales ,Business Development,Account Strategy,Business Development & Strategy
Sales,Pre Sales ,Client Communication and Meetings,,Pre-Sales Client Communication
Sales,Post Sales ,Client Communication and Meetings,,Post-Sales Client Communication
Sales,Pre and Post Sales,Client Communication and Meetings,,Client Meeting - In Person Entertaining
Sales,Pre and Post Sales,Client Communication and Meetings,,Travel Time
Sales,n/a,Internal Housekeeping,,PUMI
Sales,n/a,Internal Housekeeping,,General Admin (managing inbox  calendars  etc.)
Sales,n/a,Internal Housekeeping,,Expense Reports
Sales,n/a,Internal Housekeeping,,VOS
Sales,n/a,Internal Meetings,,Internal Non-Sales Meetings
Sales,n/a,Internal Meetings,,Internal Team Meetings and 1:1s
Sales,n/a,PTO,,PTO
Sales,Post Sales ,Salesforce Management,,Financial Reporting
Sales,Pre and Post Sales,Salesforce Management,,Log Activity in Salesforce
Sales,Pre and Post Sales,Salesforce Management,,Biz Ops Cases
Sales,Pre and Post Sales,Salesforce Management,,Legal Review
Sales,Pre Sales ,Incubation (SMB),Account Strategy,Foundational Initiatives
Sales,Pre Sales ,Incubation (SMB),Account Strategy,Solutions Development
Sales,Pre Sales ,Incubation (SMB),Account Strategy,Voice of the Customer Sourcing and Converting to Insights
Sales,Pre Sales ,Incubation (SMB),Account Strategy,Business Development & Strategy
Sales,Post Sales ,Campaign Management,,Direct IO Troubleshooting
Sales,Post Sales ,Campaign Management,,Upselling (Mid Campaign Tasks)
Sales,Post Sales ,Programmatic,,Programmatic Spend Tracking
Sales,Post Sales ,Programmatic,,Programmatic Troubleshooting
Sales,Post Sales ,Programmatic,,Programmatic Reports
Sales,Post Sales ,Programmatic,,Programmatic Revenue Actualization
Sales,Post Sales ,Reporting,,Wrap Reports/QBRs (Review & Feedback)
Sales,Post Sales ,DSP Platform Support,Campaign Management,Partner Program Campaign Optimization & Post-sales Support
Sales,Pre and Post Sales,Reporting,,Audience Reports (Lift  R&F  IR  Linear Ads  Optimal Reach)
Sales,Pre and Post Sales,Reporting,,Audience Insights
Sales,Pre Sales ,Account Strategy,,Client Meeting Prep
Sales,Pre Sales ,Account Strategy,,Finance Approvals
Sales,Pre Sales ,Account Strategy,,RFI
Sales,Pre Sales ,Account Strategy,,Pitch Deck/Proposals
Sales,Pre Sales ,Account Strategy,,Prospecting
Sales,Pre Sales ,Account Strategy,,Account Planning
Sales,Pre Sales ,Account Strategy,,Compiling Information for Clients
Sales,Pre Sales ,Account Strategy,,Client Meeting Prep
Sales,Pre Sales ,Audience Creation/Management,Campaign Management,Audience Creation
Sales,Pre Sales ,Audience Creation/Management,Campaign Management,Inventory Case
Sales,Pre Sales ,Campaign Management,,Client Kick off Call
Sales,Pre Sales ,Campaign Management,,O1 Entry & Revisions
Sales,Pre Sales ,Campaign Management,,Roadblock/ATO (Booking / DOMO / Conflicts)
Sales,Pre Sales ,Client Communication and Meetings,,Client Meeting - Virtual (Presenting)
Sales,Pre Sales ,Client Communication and Meetings,,Client Meeting - In Person (Presenting)
Sales,Pre Sales ,Internal Meetings,,RFP Brainstorm
Sales,Pre Sales ,Programmatic,,Programmatic Deal Request
Sales,Pre Sales ,Programmatic,,Creating Blocklists
Sales,Pre Sales ,Salesforce Management,,Salesforce Opportunity (Creation & Management)
Sales,Pre and Post Sales,DSP Platform Support,Campaign Management,Partner Program Campaign Set-Up Support
Agency Development ,Pre and Post Sales,Agency Strategy,,Client Meeting Prep
Agency Development ,Pre and Post Sales,Agency Strategy,,Agency Planning & Strategy
Agency Development ,Pre Sales ,Agency Strategy,,RFI's
Agency Development ,Pre and Post Sales,Agency Strategy,,Deck Creation
Agency Development ,Pre Sales ,Agency Strategy,,Prospecting and Outreach
Agency Development ,Pre and Post Sales,Agency Strategy,,Work on specific Agency Product E.g. Lift  Outcomes  etc.
Agency Development ,Pre and Post Sales,Agency Strategy,,Operational work to support agency  products  etc. (E.g. workflows  processes  etc.
Agency Development ,Pre and Post Sales,Agency Strategy,,Deliverables / Follow Ups to Meetings
Agency Development ,n/a,Agency Strategy,,Confluence pages to support deals
Agency Development ,Pre and Post Sales,Agency Strategy,Sales Team Partnership,Fire Drill / Escalation Support
Agency Development ,Pre Sales ,Agency Strategy,,DMP  clean room and/or planning/optimization tools
Agency Development ,Pre Sales ,Ideation / Brainstorming,Agency Strategy,New products  solutions  etc.
Agency Development ,Pre Sales ,Events/Activations,,Event outreach and meeting set up E.g. Cannes  CES  NewFront
Agency Development ,Pre Sales ,Events/Activations,,Event meeting prep  decks  etc.
Agency Development ,Pre Sales ,Partnership Negotiations,,Documents to support upfront or CY deals  negotiations  etc.
Agency Development ,Pre Sales ,Partnership Negotiations,,Bottoms Up Planning
Agency Development ,Pre Sales ,Partnership Negotiations,,Negotiation with Agency
Agency Development ,Pre Sales ,Partnership Negotiations,,Negotiation with FinOps  internal stakeholders
Agency Development ,Post Sales ,Partnership Negotiations,,Financial pulls  modeling  etc.
Agency Development ,Pre and Post Sales,Partnership Negotiations,,Partnership Strategy
